[워머] 대상 12379건 (force=False, sample=전량, workers=3, sleep=0.3s)
  진행 10/12379 | ok 10 err 0 | 양호 4 검토 0 금지 6 미적용 0 | 327건/분 | ETA 38분
  진행 20/12379 | ok 20 err 0 | 양호 6 검토 0 금지 14 미적용 0 | 349건/분 | ETA 35분
  진행 30/12379 | ok 30 err 0 | 양호 14 검토 1 금지 15 미적용 0 | 346건/분 | ETA 36분
  진행 40/12379 | ok 40 err 0 | 양호 15 검토 3 금지 22 미적용 0 | 356건/분 | ETA 35분
  진행 50/12379 | ok 50 err 0 | 양호 19 검토 3 금지 28 미적용 0 | 270건/분 | ETA 46분
  진행 60/12379 | ok 60 err 0 | 양호 20 검토 3 금지 37 미적용 0 | 287건/분 | ETA 43분
  진행 70/12379 | ok 70 err 0 | 양호 28 검토 4 금지 38 미적용 0 | 300건/분 | ETA 41분
  진행 80/12379 | ok 80 err 0 | 양호 28 검토 4 금지 48 미적용 0 | 283건/분 | ETA 43분
  진행 90/12379 | ok 90 err 0 | 양호 28 검토 4 금지 58 미적용 0 | 263건/분 | ETA 47분
  진행 100/12379 | ok 100 err 0 | 양호 28 검토 4 금지 68 미적용 0 | 270건/분 | ETA 45분
  진행 110/12379 | ok 110 err 0 | 양호 28 검토 4 금지 78 미적용 0 | 279건/분 | ETA 44분
  진행 120/12379 | ok 120 err 0 | 양호 28 검토 4 금지 88 미적용 0 | 287건/분 | ETA 43분
  진행 130/12379 | ok 130 err 0 | 양호 28 검토 4 금지 98 미적용 0 | 277건/분 | ETA 44분
  진행 140/12379 | ok 140 err 0 | 양호 28 검토 4 금지 108 미적용 0 | 250건/분 | ETA 49분
  진행 150/12379 | ok 150 err 0 | 양호 28 검토 4 금지 118 미적용 0 | 236건/분 | ETA 52분
  진행 160/12379 | ok 160 err 0 | 양호 28 검토 4 금지 128 미적용 0 | 231건/분 | ETA 53분
  진행 170/12379 | ok 170 err 0 | 양호 28 검토 4 금지 138 미적용 0 | 238건/분 | ETA 51분
  진행 180/12379 | ok 180 err 0 | 양호 28 검토 4 금지 148 미적용 0 | 244건/분 | ETA 50분
  진행 190/12379 | ok 190 err 0 | 양호 28 검토 4 금지 158 미적용 0 | 249건/분 | ETA 49분
  진행 200/12379 | ok 200 err 0 | 양호 28 검토 4 금지 168 미적용 0 | 254건/분 | ETA 48분
  진행 210/12379 | ok 210 err 0 | 양호 28 검토 4 금지 178 미적용 0 | 260건/분 | ETA 47분
  진행 220/12379 | ok 220 err 0 | 양호 31 검토 4 금지 185 미적용 0 | 260건/분 | ETA 47분
  진행 230/12379 | ok 230 err 0 | 양호 34 검토 4 금지 192 미적용 0 | 262건/분 | ETA 46분
  진행 240/12379 | ok 240 err 0 | 양호 37 검토 4 금지 199 미적용 0 | 264건/분 | ETA 46분
  진행 250/12379 | ok 250 err 0 | 양호 39 검토 6 금지 205 미적용 0 | 262건/분 | ETA 46분
  진행 260/12379 | ok 260 err 0 | 양호 39 검토 7 금지 214 미적용 0 | 266건/분 | ETA 46분
