item_key,법원,사건번호,model,제조사,연식,주행km,연료
E01|2025|58689|1,경매10계,2025-58689,Mercedes-Maybach S600다임러 AG,다임러 AG,2015,189968,휘발유
D01|2025|73617|1,경매10계,2025-73617,BMW 520i M Sport PackageBMW AG 독일,BMW AG 독일,2023,38510,휘발유
A01|2025|103470|1,경매11계,2025-103470,승용자동차,,,,
D02|2025|1784|1,경매11계,2025-1784,SM7르노삼성자동차(주),르노삼성자동차(주),2014,167366,휘발유
E01|2026|50582|1,경매14계,2026-50582,그랜저(GRANDEUR)현대자동차(주),현대자동차(주),2020,67932,LPG
E01|2026|51681|1,경매15계,2026-51681,셀토스기아자동차,기아자동차,2025,1374,휘발유
E01|2025|57293|1,경매19계,2025-57293,레인지로버 이보크 2.0D랜드로버,랜드로버,2016,140927,경유
A05|2025|13322|1,경매1계,2025-13322,쏘렌토기아,기아,2020,39962,경유
D01|2025|73391|1,경매1계,2025-73391,에쿠스(EQUUS)현대자동차(주),현대자동차(주),2015,146362,휘발유
D01|2025|73873|1,경매1계,2025-73873,아이오닉 일렉트릭 (IONIQ 현대자동차(주),현대자동차(주),2018,103904,전기
M01|2025|8882|1,경매1계,2025-8882,K8기아,기아,2022,50054,LPG
K04|2026|30011|1,경매1계,2026-30011,CHEVROLET BOLT EV쉐보레,쉐보레,2018,136803,전기
G02|2026|30046|1,경매1계,2026-30046,아반떼(AVANTE)현대자동차,현대자동차,2020,129598,휘발유
K03|2026|30067|1,경매1계,2026-30067,승용자동차,,,,
F05|2026|30130|1,경매1계,2026-30130,쏘렌토,르노코리아,2018,61407,경유
K01|2026|30297|1,경매1계,2026-30297,그랜저(GRANDEUR)현대,현대,2016,92418,휘발유
L04|2026|5047|1,경매1계,2026-5047,승용자동차,,,,
E01|2026|50527|1,경매1계,2026-50527,디스커버리 스포츠 2.0D랜드로버,랜드로버,2016,176540,경유
E01|2026|51020|1,경매20계,2026-51020,E220 d,벤츠,2019,38440,경유
E06|2025|101362|1,경매2계,2025-101362,싼타페,현대자동차,2016,148589,경유
E06|2025|101362|2,경매2계,2025-101362,싼타페,현대자동차,2016,87246,경유
E06|2025|101362|3,경매2계,2025-101362,그랜저,현대자동차,2020,70842,휘발유
K01|2025|32035|1,경매2계,2025-32035,그랜져현대자동차(주),현대자동차(주),2016,121237,휘발유
I08|2025|4379|1,경매2계,2025-4379,렉스턴KGM,KGM,2024,28589,경유
H01|2025|503560|1,경매2계,2025-503560,아반떼(AVANTE)현대,현대,2015,89233,휘발유
H01|2025|503740|1,경매2계,2025-503740,에쿠스(EQUUS)현대자동차,현대자동차,2012,182064,휘발유
H01|2025|503939|1,경매2계,2025-503939,BMW 520dBMW AG,BMW AG,2018,100664,경유
H01|2025|504131|1,경매2계,2025-504131,쏘렌토기아자동차(주),기아자동차(주),2016,149690,경유
L03|2025|51170|1,경매2계,2025-51170,투싼(TUCSON)현대자동차,현대자동차,2016,120826,경유
M01|2026|171|1,경매2계,2026-171,디스커버리 스포츠 2.0D랜드로버,랜드로버,2017,126714,사용연료는
D03|2026|20460|1,경매2계,2026-20460,BMW X1 xDrive20iBMW,BMW,2022,33905,휘발유
L05|2026|50050|1,경매2계,2026-50050,G90현대,현대,2019,124737,휘발유
H01|2026|600002|1,경매2계,2026-600002,BMW 420d xDrive Gran CoupBMW AG,BMW AG,2016,250789,경유
H01|2026|600048|1,경매2계,2026-600048,K9기아자동차,기아자동차,2020,174223,휘발유
C01|2025|514016|1,경매30계,2025-514016,쏘나타 하이브리드(SONATA 현대자동차,현대자동차,2016,142166,하이브리드
C01|2025|514466|1,경매30계,2025-514466,베리타스3.6GM Holden,GM Holden,2010,99428,휘발유
C01|2025|514564|1,경매30계,2025-514564,GV60현대자동차,현대자동차,2022,76121,전기
C01|2026|501561|1,경매30계,2026-501561,토레스,쌍용,2023,74457,휘발유
C01|2025|513111|1,경매31계,2025-513111,넥쏘(NEXO) 수소전기차현대자동차,현대자동차,2022,65045,전기
C01|2025|514499|1,경매31계,2025-514499,토요타 Sienna Hybrid 2WD토요타자동차,토요타자동차,2021,34707,하이브리드
C01|2025|514756|1,경매31계,2025-514756,BMW X5 xDrive30dBMW,BMW,2015,214772,경유
C01|2025|514992|1,경매31계,2025-514992,EQ900현대자동차,현대자동차,2016,262431,휘발유
C01|2026|500828|1,경매31계,2026-500828,Mercedes-Benz EQS450 4MATMercedes-Benz,Mercedes-Benz,2023,109551,전기
C01|2026|501275|1,경매31계,2026-501275,레인지로버 이보크 2.0D재규어랜드로버,재규어랜드로버,2017,128145,경유
C01|2026|501425|1,경매31계,2026-501425,모하비기아자동차,기아자동차,2020,114576,경유
H02|2025|12939|1,경매3계,2025-12939,Mercedes-Benz GLE450 4MAT벤츠,벤츠,2021,146872,하이브리드
F04|2025|20963|1,경매3계,2025-20963,말리부 2.0 TURBO쉐보레GM,쉐보레GM,2017,116733,휘발유
L01|2025|34491|1,경매3계,2025-34491,코란도쌍용자동차,쌍용자동차,2022,73426,휘발유
E04|2025|42673|1,경매3계,2025-42673,SM6르노삼성자동차(주),르노삼성자동차(주),2019,84584,휘발유
I08|2025|4410|1,경매3계,2025-4410,싼타페,현대,2018,101504,경유
A02|2025|457|1,경매3계,2025-457,토러스포드,포드,2016,104922,휘발유
E05|2025|53246|1,경매3계,2025-53246,쏘나타(SONATA)현대자동차(주),현대자동차(주),2015,65879,LPG
D02|2025|65052|1,경매3계,2025-65052,제네시스(GENESIS)현대자동차(주),현대자동차(주),2016,194381,휘발유
D02|2025|65242|1,경매3계,2025-65242,Mercedes-Benz EQS350Mercedes-Benz,Mercedes-Benz,2022,47329,전기
I01|2026|100876|1,경매3계,2026-100876,캐딜락 CT6 3.6지엠아시아퍼시픽,지엠아시아퍼시픽,2019,180240,휘발유
M01|2026|10184|1,경매3계,2026-10184,아이오닉 일렉트릭(IONIQ E현대자동차,현대자동차,2017,159624,전기
H02|2026|10404|1,경매3계,2026-10404,투싼(TUCSON)현대자동차(주),현대자동차(주),2022,129140,경유
C02|2026|30908|1,경매3계,2026-30908,말리부 2.0 TURBO,쉐보레 GM,2021,20759,휘발유
F02|2026|50001|1,경매3계,2026-50001,G80현대자동차,현대자동차,2025,30780,휘발유
G01|2026|50298|1,경매3계,2026-50298,Mercedes-Benz GLB250 4MATMercedes-Benz,Mercedes-Benz,2023,33260,휘발유
E04|2025|43089|1,경매4계,2025-43089,아반떼(AVANTE)현대자동차,현대자동차,2021,74957,휘발유
I01|2026|100705|1,경매4계,2026-100705,A6 45 TFSIAudi AG,Audi AG,2023,67703,휘발유
K02|2026|24|1,경매4계,2026-24,K3,기아,2018,137969,휘발유
I08|2026|3005|1,경매4계,2026-3005,A6 35 TDI quattro아우디,아우디,2016,144152,경유
K01|2026|30230|1,경매4계,2026-30230,BMW X4 xDrive20dBMW,BMW,2015,233959,경유
K01|2026|30251|1,경매4계,2026-30251,BMW 420d xDrive Gran Coup비엠더블유코리아(주),비엠더블유코리아(주),2018,225978,경유
D03|2026|53|1,경매4계,2026-53,모하비기아자동차(주),기아자동차(주),2017,297083,경유
D01|2026|70359|1,경매4계,2026-70359,그랜저(GRANDEUR)현대자동차(주),현대자동차(주),2019,106108,휘발유
I09|2025|32250|1,경매5계,2025-32250,A7 3.0 TDI quattroAudi,Audi,2014,210064,경유
A02|2025|51716|1,경매5계,2025-51716,G80,현대자동차,2023,24877,휘발유
A03|2025|52383|1,경매5계,2025-52383,GV80현대,현대,2020,106491,경유
D01|2025|73877|1,경매5계,2025-73877,스포티지기아자동차,기아자동차,2020,93980,경유
B03|2026|100265|1,경매5계,2026-100265,승용자동차,,,,
I01|2026|100281|1,경매5계,2026-100281,BMW 520dBMW AG 독일,BMW AG 독일,2017,169175,경유
G01|2026|50327|1,경매5계,2026-50327,쏘렌토기아자동차(주),기아자동차(주),2020,29522,경유
E05|2026|50462|1,경매5계,2026-50462,투싼(TUCSON)현대자동차,현대자동차,2021,32945,휘발유
B02|2026|5352|1,경매5계,2026-5352,셀토스,기아,2023,125385,휘발유
H02|2025|12541|1,경매6계,2025-12541,스팅어기아자동차,기아자동차,2018,215388,휘발유
K01|2025|31829|1,경매6계,2025-31829,트랙스1.4쉐보레,쉐보레,2019,96271,휘발유
L01|2025|34558|1,경매6계,2025-34558,Mercedes-Benz CLS450 4MAT벤츠,벤츠,2021,68694,하이브리드
E04|2025|42817|1,경매6계,2025-42817,370Z닛산,닛산,2017,100441,휘발유
D03|2025|72342|1,경매6계,2025-72342,셀토스기아자동차,기아자동차,2023,55066,휘발유
J04|2026|10094|1,경매6계,2026-10094,싼타페(SANTAFE)현대자동차(주),현대자동차(주),2019,144635,경유
N01|2026|10148|1,경매6계,2026-10148,E300벤츠,벤츠,2019,147482,휘발유
E01|2026|51500|1,경매6계,2026-51500,넥쏘 수소전기차,현대,2020,87149,전기
A05|2025|13709|1,경매7계,2025-13709,Jetta 2.0 TDI폭스바겐 AG,폭스바겐 AG,2014,190926,경유
A02|2025|52256|1,경매7계,2025-52256,Mercedes-AMG S63 4MATIC+c메르세데스-벤츠,메르세데스-벤츠,2021,71375,휘발유
H02|2025|722|1,경매7계,2025-722,Grand C4 Picasso 1.6 Blue시트로엥,시트로엥,2017,157157,경유
D01|2025|72400|1,경매7계,2025-72400,아반떼현대,현대,2015,80665,휘발유
A04|2025|8827|1,경매7계,2025-8827,SM6르노코리아(삼성),르노코리아(삼성),2021,92692,가스
E01|2026|52034|1,경매7계,2026-52034,G80,현대,2018,129621,휘발유
L01|2026|31185|1,경매8계,2026-31185,K7,기아,2020,81005,휘발유
C02|2026|30664|1,경매9계,2026-30664,투싼(TUCSON)현대자동차,현대자동차,2022,97998,휘발유
D01|2026|70129|1,경매9계,2026-70129,코란도쌍용자동차주식회사,쌍용자동차주식회사,2019,98544,경유
